danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.619,0.189,-15.253,1,0.903,0.00106,0.189,0.511,103.486,guitar
0.441,0.143,-12.719,1,0.982,0.0,0.1,0.215,94.251,guitar
0.351,0.356,-9.622,0,0.753,2.1e-05,0.851,0.146,125.642,guitar
0.48,0.146,-12.876,1,0.976,0.899,0.111,0.286,179.397,guitar
0.3,0.66,-7.536,0,0.485,0.817,0.116,0.189,87.4,guitar
0.554,0.0666,-19.071,0,0.916,0.669,0.0918,0.218,74.877,guitar
0.746,0.452,-6.725,1,0.69,4.63e-06,0.133,0.598,112.363,guitar
0.655,0.202,-13.869,1,0.921,0.944,0.1,0.239,105.96,guitar
0.199,0.118,-23.407,1,0.608,0.602,0.118,0.164,123.353,guitar
0.521,0.526,-6.87,0,0.552,0.00156,0.198,0.577,107.663,guitar
0.814,0.114,-19.22,0,0.979,0.969,0.111,0.383,120.244,guitar
0.743,0.357,-10.705,1,0.669,0.691,0.21,0.447,79.981,guitar
0.161,0.0128,-26.071,1,0.836,0.966,0.12,0.151,130.155,guitar
0.414,0.821,-8.539,0,0.808,0.814,0.0996,0.432,173.933,guitar
0.411,0.388,-9.457,0,0.538,0.929,0.304,0.356,97.313,guitar
0.353,0.178,-19.461,1,0.891,0.93,0.12,0.508,152.695,guitar
0.576,0.522,-6.348,1,0.842,3.7e-05,0.118,0.555,102.904,guitar
0.46,0.951,-6.869,1,0.00285,0.833,0.0523,0.336,108.005,guitar
0.58,0.408,-12.966,1,0.573,0.819,0.143,0.471,139.047,guitar
0.725,0.502,-12.541,0,0.703,0.774,0.0836,0.868,103.162,guitar
0.255,0.31,-11.429,0,0.968,0.909,0.11,0.172,89.836,guitar
0.712,0.279,-12.545,1,0.932,0.82,0.38,0.115,136.033,guitar
0.625,0.812,-4.41,0,0.345,0.0,0.344,0.854,96.08,guitar
0.414,0.821,-8.539,0,0.808,0.814,0.0996,0.432,173.933,guitar
0.437,0.355,-16.829,1,0.897,0.818,0.115,0.0365,148.635,guitar
0.0727,0.00323,-27.883,1,0.98,0.71,0.115,0.0372,81.722,guitar
0.707,0.0893,-20.4,1,0.961,0.888,0.107,0.499,140.058,guitar
0.441,0.137,-21.724,1,0.985,0.936,0.123,0.242,90.985,guitar
0.475,0.579,-5.577,0,0.34,0.0,0.403,0.532,117.485,guitar
0.621,0.18,-23.524,1,0.875,0.827,0.698,0.884,169.916,guitar
0.556,0.789,-5.896,0,0.709,0.0,0.25,0.745,90.323,guitar
0.504,0.0594,-17.779,1,0.991,0.926,0.112,0.32,113.051,guitar
0.645,0.696,-2.679,1,0.794,4.21e-06,0.253,0.761,72.207,guitar
0.705,0.51,-7.085,1,0.856,1.17e-05,0.105,0.747,98.473,guitar
0.799,0.147,-15.506,1,0.947,0.942,0.13,0.537,73.995,guitar
0.265,0.124,-23.395,1,0.809,0.916,0.114,0.371,100.861,guitar
0.413,0.112,-14.88,1,0.983,0.941,0.111,0.153,137.856,guitar
0.683,0.124,-17.963,0,0.982,0.905,0.109,0.417,114.755,guitar
0.161,0.0128,-26.071,1,0.836,0.966,0.12,0.151,130.155,guitar
0.468,0.134,-20.262,1,0.844,0.00704,0.0787,0.607,91.07,guitar
0.585,0.81,-3.927,0,0.251,0.0,0.293,0.704,97.314,guitar
0.448,0.15,-22.779,1,0.772,0.885,0.119,0.125,93.857,guitar
0.698,0.578,-3.573,1,0.868,7.47e-06,0.159,0.657,76.226,guitar
0.0,0.004,-28.326,1,0.97,0.959,0.109,0.0,0.0,guitar
0.625,0.285,-13.819,1,0.897,0.91,0.108,0.173,141.611,guitar
0.415,0.576,-11.628,0,0.834,0.808,0.698,0.556,100.54,guitar
0.63,0.276,-12.034,0,0.874,0.92,0.106,0.0637,120.06,guitar
0.589,0.694,-7.198,0,0.832,0.868,0.1,0.947,160.288,guitar
0.673,0.17,-23.395,1,0.858,0.879,0.0684,0.213,123.972,guitar
0.49,0.16,-12.77,1,0.977,0.921,0.126,0.234,80.545,guitar
0.331,0.316,-8.356,1,0.918,1.84e-05,0.0911,0.397,147.251,guitar
0.652,0.104,-15.407,1,0.989,0.938,0.109,0.381,118.523,guitar
0.805,0.333,-13.106,1,0.951,0.884,0.0979,0.421,122.54,guitar
0.618,0.083,-23.665,1,0.745,0.000123,0.146,0.597,90.865,guitar
0.75,0.104,-18.783,0,0.907,0.768,0.107,0.172,131.948,guitar
0.716,0.195,-16.176,1,0.98,0.926,0.197,0.25,120.2,guitar
0.631,0.529,-9.595,0,0.615,8.25e-05,0.0901,0.564,112.61,guitar
0.576,0.0313,-17.935,0,0.935,0.63,0.111,0.0391,109.827,guitar
0.572,0.523,-7.666,1,0.603,0.0,0.144,0.684,137.835,guitar
0.22,0.207,-22.469,0,0.979,0.89,0.0755,0.665,128.469,guitar
0.795,0.0841,-18.09,0,0.742,1.17e-05,0.0853,0.609,91.803,guitar
0.597,0.57,-10.581,0,0.752,0.877,0.145,0.892,124.636,guitar
0.617,0.534,-10.902,1,0.717,0.0,0.321,0.806,80.765,guitar
0.321,0.958,-10.495,1,0.103,7.43e-05,0.0994,0.106,117.875,guitar
0.591,0.145,-18.428,1,0.928,0.523,0.108,0.265,127.261,guitar
0.634,0.373,-9.901,1,0.936,8.69e-05,0.108,0.728,91.055,guitar
0.441,0.137,-21.724,1,0.985,0.936,0.123,0.242,90.985,guitar
0.709,0.119,-20.33,0,0.902,0.436,0.109,0.336,135.223,guitar
0.444,0.289,-17.234,0,0.868,0.503,0.0806,0.284,153.79,guitar
0.55,0.259,-15.294,1,0.976,0.915,0.105,0.79,123.686,guitar
0.419,0.341,-13.72,0,0.322,0.914,0.0786,0.179,152.958,guitar
0.448,0.726,-5.372,1,0.793,1.41e-05,0.108,0.39,83.42,guitar
0.603,0.715,-7.418,1,0.0341,0.704,0.0754,0.178,94.875,guitar
0.271,0.166,-21.261,1,0.946,0.899,0.109,0.34,65.436,guitar
0.635,0.476,-6.981,1,0.674,0.0,0.376,0.46,94.066,guitar
0.632,0.51,-12.765,0,0.948,0.885,0.828,0.444,140.259,guitar
0.427,0.525,-8.739,0,0.852,0.91,0.106,0.386,99.842,guitar
0.524,0.264,-12.993,1,0.925,0.0,0.166,0.664,135.782,guitar
0.201,0.154,-19.111,1,0.846,0.862,0.0872,0.0787,62.895,guitar
0.686,0.0317,-23.894,1,0.917,0.169,0.11,0.398,128.7,guitar
0.682,0.654,-7.091,0,0.716,4.92e-06,0.123,0.744,95.0,guitar
